,Area,Year,Item,Element Code,Unit,value
502757,South-eastern Asia,1965-01-01,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5312,ha,1000.0
502760,South-eastern Asia,1965-01-01,Areca nuts,5312,ha,95235.0
502764,South-eastern Asia,1965-01-01,Avocados,5312,ha,10300.0
502767,South-eastern Asia,1965-01-01,Bananas,5312,ha,612885.0
502770,South-eastern Asia,1965-01-01,"Beans, dry",5312,ha,933840.0
502777,South-eastern Asia,1965-01-01,"Broad beans and horse beans, green",5312,ha,30.0
502782,South-eastern Asia,1965-01-01,Cabbages,5312,ha,44910.0
502785,South-eastern Asia,1965-01-01,Canary seed,5312,ha,1000.0
502788,South-eastern Asia,1965-01-01,Carrots and turnips,5312,ha,750.0
502791,South-eastern Asia,1965-01-01,"Cashew nuts, in shell",5312,ha,7600.0
502794,South-eastern Asia,1965-01-01,"Cassava, fresh",5312,ha,2116337.0
502797,South-eastern Asia,1965-01-01,Castor oil seeds,5312,ha,44280.0
502802,South-eastern Asia,1965-01-01,Cauliflowers and broccoli,5312,ha,3460.0
502805,South-eastern Asia,1965-01-01,Cereals n.e.c.,5312,ha,38000.0
502809,South-eastern Asia,1965-01-01,"Chick peas, dry",5312,ha,98229.0
502813,South-eastern Asia,1965-01-01,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",5312,ha,102929.0
502816,South-eastern Asia,1965-01-01,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",5312,ha,81750.0
502819,South-eastern Asia,1965-01-01,"Cinnamon and cinnamon-tree flowers, raw",5312,ha,19000.0
502822,South-eastern Asia,1965-01-01,"Cloves (whole stems), raw",5312,ha,27130.0
502825,South-eastern Asia,1965-01-01,Cocoa beans,5312,ha,19971.0
502829,South-eastern Asia,1965-01-01,"Coconuts, in shell",5312,ha,3275388.0
502832,South-eastern Asia,1965-01-01,"Coffee, green",5312,ha,329575.0
502836,South-eastern Asia,1965-01-01,"Corn, all",5312,ha,5829415.0
502842,South-eastern Asia,1965-01-01,"Cow peas, dry",5312,ha,23871.0
502846,South-eastern Asia,1965-01-01,Cucumbers and gherkins,5312,ha,32563.0
502850,South-eastern Asia,1965-01-01,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",5312,ha,239624.0
502854,South-eastern Asia,1965-01-01,"Ginger, raw",5312,ha,5200.0
502858,South-eastern Asia,1965-01-01,Grapes,5312,ha,100.0
502861,South-eastern Asia,1965-01-01,Green garlic,5312,ha,25116.0
502865,South-eastern Asia,1965-01-01,"Groundnuts, excluding shelled",5312,ha,1114365.0
502872,South-eastern Asia,1965-01-01,"Jute, raw or retted",5312,ha,40318.0
502876,South-eastern Asia,1965-01-01,Kapok fruit,5312,ha,149800.0
502880,South-eastern Asia,1965-01-01,Lemons and limes,5312,ha,12495.0
502883,South-eastern Asia,1965-01-01,"Lentils, dry",5312,ha,1528.0
502886,South-eastern Asia,1965-01-01,Lettuce and chicory,5312,ha,11.0
502889,South-eastern Asia,1965-01-01,"Mangoes, guavas and mangosteens",5312,ha,181160.0
502893,South-eastern Asia,1965-01-01,Millet,5312,ha,144529.0
502899,South-eastern Asia,1965-01-01,Mustard seed,5312,ha,5133.0
502905,South-eastern Asia,1965-01-01,"Nutmeg, mace, cardamoms, raw",5312,ha,10700.0
