,Area,Year,Item,Element Code,Unit,value
18840,World,1999-01-01,"Ginger, raw",5419,hg/ha,34734.0
18852,World,1999-01-01,Green garlic,5419,hg/ha,97723.0
18943,World,1999-01-01,Oil palm fruit,5419,hg/ha,114632.0
19014,World,1999-01-01,"Pumpkins, squash and gourds",5419,hg/ha,117897.0
19030,World,1999-01-01,Rape or colza seed,5419,hg/ha,15714.0
19086,World,1999-01-01,Spinach,5419,hg/ha,127126.0
19147,World,1999-01-01,Watermelons,5419,hg/ha,243540.0
19150,World,1999-01-01,Wheat,5419,hg/ha,27462.0
19308,World,2000-01-01,Cranberries,5419,hg/ha,152945.0
19312,World,2000-01-01,Cucumbers and gherkins,5419,hg/ha,185391.0
19355,World,2000-01-01,"Ginger, raw",5419,hg/ha,35626.0
19367,World,2000-01-01,Green garlic,5419,hg/ha,102207.0
19458,World,2000-01-01,Oil palm fruit,5419,hg/ha,116276.0
19529,World,2000-01-01,"Pumpkins, squash and gourds",5419,hg/ha,121917.0
19545,World,2000-01-01,Rape or colza seed,5419,hg/ha,15277.0
19601,World,2000-01-01,Spinach,5419,hg/ha,141908.0
19662,World,2000-01-01,Watermelons,5419,hg/ha,243309.0
19665,World,2000-01-01,Wheat,5419,hg/ha,27316.0
19823,World,2001-01-01,Cranberries,5419,hg/ha,141570.0
19827,World,2001-01-01,Cucumbers and gherkins,5419,hg/ha,195525.0
19870,World,2001-01-01,"Ginger, raw",5419,hg/ha,37726.0
19882,World,2001-01-01,Green garlic,5419,hg/ha,105381.0
19973,World,2001-01-01,Oil palm fruit,5419,hg/ha,119046.0
